DexNumber,Name,DefName,Type1,Type2,HP,Attack,Defense,SpAttack,SpDefense,Speed,Size,SizeMulti,Mass,GenderDifference,BaseFriendship,GenderLess,FemaleRatio,EvolTier,EvolLine,EvolMax,LvlBasedEvolution,EvolLvl,Baby,Fossil,Legendary,ParticularSpawn,Rarity,MinWildLvl,MaxWildLvl,XpCategory,CatchRate,EggGroup1,EggGroup2,EggCycles,EggLayTime,EggHatchTime,ExpYield,HPEv,AttackEv,DefenseEv,SpAttackEv,SpDefenseEv,SpeedEv,RimworldShape
45,Vileplume,Vileplume,Grass,Poison,75,80,85,110,90,50,1.2,1,18.6,0,50,0,0.5,3,18,1,0,0,0,0,0,0,6,32,38,MediumSlow,45,Grass,,20,6.7,13.3,184,0,0,0,3,0,0,BipedPokemon
46,Paras,Paras,Bug,Grass,35,70,55,45,55,25,0.3,1,5.4,0,50,0,0.5,1,19,0,1,24,0,0,0,0,1,4,12,MediumFast,190,Bug,Grass,20,6.7,13.3,70,0,1,0,0,0,0,InsectPokemonWith4LegsAndClaws
47,Parasect,Parasect,Bug,Grass,60,95,80,60,80,30,1,1,29.5,0,50,0,0.5,2,19,1,0,0,0,0,0,0,5,24,30,MediumFast,75,Bug,Grass,20,6.7,13.3,128,0,2,1,0,0,0,InsectPokemonWith4LegsAndClaws
48,Venonat,Venonat,Bug,Poison,60,55,50,40,55,45,1,1,30,0,50,0,0.5,1,20,0,1,31,0,0,0,0,1,6,15,MediumFast,190,Bug,,20,6.7,13.3,75,0,0,0,0,1,0,BipedPokemon
49,Venomoth,Venomoth,Bug,Poison,70,65,60,90,75,90,1.5,1,12.5,0,50,0,0.5,2,20,1,0,0,0,0,0,0,5,31,36,MediumFast,75,Bug,,20,6.7,13.3,138,0,0,0,1,0,1,InsectPokemonWithWingsAndLegs
50,Diglett,Diglett,Ground,,10,55,25,35,45,95,0.2,1,0.8,0,50,0,0.5,1,21,0,1,26,0,0,0,0,1,6,15,MediumFast,255,Field,,20,6.7,13.3,81,0,0,0,0,0,1,HeadPokemonWithBody
51,Dugtrio,Dugtrio,Ground,,35,100,50,50,70,120,0.7,1,33.3,0,50,0,0.5,2,21,1,0,0,0,0,0,0,5,28,33,MediumFast,50,Field,,20,6.7,13.3,153,0,0,0,0,0,2,MultipleBodiedPokemon3Head
52,Meowth,Meowth,Normal,,40,45,35,40,40,90,0.4,1,4.2,0,50,0,0.5,1,22,0,1,28,0,0,0,0,2,6,15,MediumFast,255,Field,,20,6.7,13.3,69,0,0,0,0,0,1,QuadrupedPokemonWithPaws
53,Persian,Persian,Normal,,65,70,60,65,65,115,1,1,32,0,50,0,0.5,2,22,1,0,0,0,0,0,0,5,30,36,MediumFast,90,Field,,20,6.7,13.3,148,0,0,0,0,0,2,QuadrupedPokemonWithPaws
54,Psyduck,Psyduck,Water,,50,52,48,65,50,55,0.8,1,19.6,0,50,0,0.5,1,23,0,1,33,0,0,0,0,1,6,15,MediumFast,190,Water1,Field,20,6.7,13.3,80,0,0,0,1,0,0,BipedPokemonWithTail
55,Golduck,Golduck,Water,,80,82,78,95,80,85,1.7,1,76.6,0,50,0,0.5,2,23,1,0,0,0,0,0,0,5,33,38,MediumFast,75,Water1,Field,20,6.7,13.3,174,0,0,0,2,0,0,BipedPokemonWithTail
56,Mankey,Mankey,Fighting,,40,80,35,35,45,70,0.5,1,28,0,50,0,0.5,1,24,0,1,28,0,0,0,0,1,6,15,MediumFast,190,Field,,20,6.7,13.3,74,0,1,0,0,0,0,BipedPokemonWithTail
57,Primeape,Primeape,Fighting,,65,105,60,60,70,95,1,1,32,0,50,0,0.5,2,24,1,0,0,0,0,0,0,5,30,36,MediumFast,75,Field,,20,6.7,13.3,149,0,2,0,0,0,0,BipedPokemonWithTail
58,Growlithe,Growlithe,Fire,,55,70,45,70,50,60,0.7,1,19,0,50,0,0.25,1,25,0,0,0,0,0,0,0,3,8,16,Slow,190,Field,,20,6.7,13.3,91,0,1,0,0,0,0,QuadrupedPokemonWithPaws
59,Arcanine,Arcanine,Fire,,90,110,80,100,80,95,1.9,1,155,0,50,0,0.25,2,25,1,0,0,0,0,0,0,6,26,32,Slow,75,Field,,20,6.7,13.3,213,0,2,0,0,0,0,QuadrupedPokemonWithPaws
60,Poliwag,Poliwag,Water,,40,50,40,40,40,90,0.6,1,12.4,0,50,0,0.5,1,26,0,1,25,0,0,0,0,1,4,12,MediumSlow,255,Water1,,20,6.7,13.3,77,0,0,0,0,0,1,HeadPokemonWithLegs
61,Poliwhirl,Poliwhirl,Water,,65,65,65,50,50,90,1,1,20,0,50,0,0.5,2,26,0,0,0,0,0,0,0,4,25,30,MediumSlow,120,Water1,,20,6.7,13.3,131,0,0,0,0,0,2,BipedPokemon
62,Poliwrath,Poliwrath,Water,Fighting,90,95,95,70,90,70,1.3,1,54,0,50,0,0.5,3,26,1,0,0,0,0,0,0,6,34,39,MediumSlow,45,Water1,,20,6.7,13.3,185,0,0,3,0,0,0,BipedPokemon
63,Abra,Abra,Psychic,,25,20,15,105,55,90,0.9,1,19.5,0,50,0,0.25,1,27,0,1,16,0,0,0,0,3,5,12,MediumSlow,200,HumanLike,,20,6.7,13.3,75,0,0,0,1,0,0,BipedPokemonWithTail
64,Kadabra,Kadabra,Psychic,,40,35,30,120,70,105,1.3,1,56.5,0,50,0,0.25,2,27,0,1,38,0,0,0,0,5,18,26,MediumSlow,100,HumanLike,,20,6.7,13.3,145,0,0,0,2,0,0,BipedPokemonWithTail
65,Alakazam,Alakazam,Psychic,,55,50,45,135,95,120,1.5,1,48,0,50,0,0.25,3,27,1,0,0,0,0,0,0,7,38,45,MediumSlow,50,HumanLike,,20,6.7,13.3,186,0,0,0,3,0,0,BipedPokemon
66,Machop,Machop,Fighting,,70,80,50,35,35,35,0.8,1,19.5,0,50,0,0.25,1,28,0,1,28,0,0,0,0,2,5,16,MediumSlow,180,HumanLike,,20,6.7,13.3,75,0,1,0,0,0,0,BipedPokemonWithTail
67,Machoke,Machoke,Fighting,,80,100,70,50,60,45,1.5,1,70.5,0,50,0,0.25,2,28,0,1,38,0,0,0,0,4,28,32,MediumSlow,90,HumanLike,,20,6.7,13.3,146,0,2,0,0,0,0,BipedPokemon
68,Machamp,Machamp,Fighting,,90,130,80,65,85,55,1.6,1,130,0,50,0,0.25,3,28,1,0,0,0,0,0,0,7,38,45,MediumSlow,45,HumanLike,,20,6.7,13.3,193,0,3,0,0,0,0,BipedPokemon
69,Bellsprout,Bellsprout,Grass,Poison,50,75,35,70,30,40,0.7,1,4,0,50,0,0.5,1,29,0,1,21,0,0,0,0,1,4,12,MediumSlow,255,Grass,,20,6.7,13.3,84,0,1,0,0,0,0,BipedPokemon
70,Weepinbell,Weepinbell,Grass,Poison,65,90,50,85,45,55,1,1,6.4,0,50,0,0.5,2,29,0,0,0,0,0,0,0,3,21,27,MediumSlow,120,Grass,,20,6.7,13.3,151,0,2,0,0,0,0,HeadPokemonWithBody
71,Victreebel,Victreebel,Grass,Poison,80,105,65,100,70,70,1.7,1,15.5,0,50,0,0.5,3,29,1,0,0,0,0,0,0,6,32,37,MediumSlow,45,Grass,,20,6.7,13.3,191,0,3,0,0,0,0,HeadPokemonWithBody
72,Tentacool,Tentacool,Water,Poison,40,40,35,50,100,70,0.9,1,45.5,0,50,0,0.5,1,30,0,1,30,0,0,0,0,1,4,12,Slow,190,Water3,,20,6.7,13.3,105,0,0,0,0,1,0,TentaclePokemon
73,Tentacruel,Tentacruel,Water,Poison,80,70,65,80,120,100,1.6,1,55,0,50,0,0.5,2,30,1,0,0,0,0,0,0,5,32,38,Slow,60,Water3,,20,6.7,13.3,205,0,0,0,0,2,0,TentaclePokemon
74,Geodude,Geodude,Rock,Ground,40,80,100,30,30,20,0.4,1,20,0,50,0,0.5,1,31,0,1,25,0,0,0,0,1,4,12,MediumSlow,255,Mineral,,15,5,10,73,0,0,1,0,0,0,HeadPokemonWithArms
75,Graveler,Graveler,Rock,Ground,55,95,115,45,45,35,1,1,105,0,50,0,0.5,2,31,0,1,38,0,0,0,0,4,25,30,MediumSlow,120,Mineral,,15,5,10,134,0,0,2,0,0,0,BipedPokemon
76,Golem,Golem,Rock,Ground,80,120,130,55,65,45,1.4,1,300,0,50,0,0.5,3,31,1,0,0,0,0,0,0,7,38,45,MediumSlow,45,Mineral,,15,5,10,177,0,0,3,0,0,0,BipedPokemon
77,Ponyta,Ponyta,Fire,,50,85,55,65,65,90,1,1,30,0,50,0,0.5,1,32,0,1,40,0,0,0,0,3,6,18,MediumFast,190,Field,,20,6.7,13.3,152,0,0,0,0,0,1,QuadrupedPokemonWithHoovesAndTail
78,Rapidash,Rapidash,Fire,,65,100,70,80,80,105,1.7,1,95,0,50,0,0.5,2,32,1,0,0,0,0,0,0,6,40,45,MediumFast,60,Field,,20,6.7,13.3,192,0,0,0,0,0,2,QuadrupedPokemonWithHoovesAndTail
79,Slowpoke,Slowpoke,Water,Psychic,90,65,65,40,40,15,1.2,1,36,0,50,0,0.5,1,33,0,1,37,0,0,0,0,2,6,18,MediumFast,190,Monster,Water1,20,6.7,13.3,99,1,0,0,0,0,0,QuadrupedPokemonWithPaws
80,Slowbro,Slowbro,Water,Psychic,95,75,110,100,80,30,1.6,1,78.5,0,50,0,0.5,2,33,1,0,0,0,0,0,0,6,37,42,MediumFast,75,Monster,Water1,20,6.7,13.3,164,0,0,2,0,0,0,BipedPokemonWithTail
81,Magnemite,Magnemite,Electric,Steel,25,35,70,95,55,45,0.3,1,6,0,50,1,-1,1,34,0,1,30,0,0,0,0,2,6,16,MediumFast,190,Mineral,,20,6.7,13.3,89,0,0,0,1,0,0,HeadPokemonWithArms
82,Magneton,Magneton,Electric,Steel,50,60,95,120,70,70,1,1,60,0,50,1,-1,2,34,0,0,0,0,0,0,0,5,30,36,MediumFast,60,Mineral,,20,6.7,13.3,161,0,0,0,2,0,0,MultipleBodiedPokemon3Head
83,Farfetch'd,Farfetchd,Normal,Flying,52,90,55,58,62,60,0.8,1,15,0,50,0,0.5,1,35,1,0,0,0,0,0,0,4,16,26,MediumFast,45,Flying,Field,20,6.7,13.3,94,0,1,0,0,0,0,WingedPokemonWithBeak
84,Doduo,Doduo,Normal,Flying,35,85,45,35,35,75,1.4,1,39.2,0,50,0,0.5,1,36,0,1,31,0,0,0,0,2,6,18,MediumFast,190,Flying,,20,6.7,13.3,96,0,1,0,0,0,0,HeadPokemonWithLegs
85,Dodrio,Dodrio,Normal,Flying,60,110,70,60,60,110,1.8,1,85.2,0,50,0,0.5,2,36,1,0,0,0,0,0,0,5,31,36,MediumFast,45,Flying,,20,6.7,13.3,158,0,2,0,0,0,0,HeadPokemonWithLegs
86,Seel,Seel,Water,,65,45,55,45,70,45,1.1,1,90,0,50,0,0.5,1,37,0,1,34,0,0,0,0,2,6,18,MediumFast,190,Water1,Field,20,6.7,13.3,100,0,0,0,0,1,0,FishPokemonWithPectoralCaudalDorsalFins
87,Dewgong,Dewgong,Water,Ice,90,70,80,70,95,70,1.7,1,120,0,50,0,0.5,2,37,1,0,0,0,0,0,0,6,34,40,MediumFast,75,Water1,Field,20,6.7,13.3,176,0,0,0,0,2,0,FishPokemonWithPectoralCaudalDorsalFins
88,Grimer,Grimer,Poison,,80,80,50,40,50,25,0.9,1,30,0,50,0,0.5,1,38,0,1,38,0,0,0,0,2,6,18,MediumFast,190,Amorphous,,20,6.7,13.3,90,1,0,0,0,0,0,HeadPokemonWithArms
89,Muk,Muk,Poison,,105,105,75,65,100,50,1.2,1,30,0,50,0,0.5,2,38,1,0,0,0,0,0,0,6,38,42,MediumFast,75,Amorphous,,20,6.7,13.3,157,1,1,0,0,0,0,HeadPokemonWithArms
90,Shellder,Shellder,Water,,30,65,100,45,25,40,0.3,1,4,0,50,0,0.5,1,39,0,0,0,0,0,0,0,2,8,18,Slow,190,Water3,,20,6.7,13.3,97,0,0,1,0,0,0,HeadPokemon
91,Cloyster,Cloyster,Water,Ice,50,95,180,85,45,70,1.5,1,132.5,0,50,0,0.5,2,39,1,0,0,0,0,0,0,6,32,38,Slow,60,Water3,,20,6.7,13.3,203,0,0,2,0,0,0,HeadPokemon
92,Gastly,Gastly,Ghost,Poison,30,35,30,100,35,80,1.3,1,0.1,0,50,0,0.5,1,40,0,1,25,0,0,0,0,2,6,14,MediumSlow,190,Amorphous,,20,6.7,13.3,95,0,0,0,1,0,0,HeadPokemon
93,Haunter,Haunter,Ghost,Poison,45,50,45,115,55,95,1.6,1,0.1,0,50,0,0.5,2,40,0,1,38,0,0,0,0,5,25,30,MediumSlow,90,Amorphous,,20,6.7,13.3,126,0,0,0,2,0,0,HeadPokemonWithArms
94,Gengar,Gengar,Ghost,Poison,60,65,60,130,75,110,1.5,1,40.5,0,50,0,0.5,3,40,1,0,0,0,0,0,0,7,38,45,MediumSlow,45,Amorphous,,20,6.7,13.3,190,0,0,0,3,0,0,BipedPokemonWithTail
95,Onix,Onix,Rock,Ground,35,45,160,30,45,70,8.8,1,210,0,50,0,0.5,1,41,0,1,40,0,0,0,0,5,20,30,MediumFast,45,Mineral,,25,8.3,16.7,108,0,0,1,0,0,0,SnakePokemon
96,Drowzee,Drowzee,Psychic,,60,48,45,43,90,42,1,1,32.4,0,50,0,0.5,1,42,0,1,26,0,0,0,0,2,6,14,MediumFast,190,HumanLike,,20,6.7,13.3,102,0,0,0,0,1,0,BipedPokemon
97,Hypno,Hypno,Psychic,,85,73,70,73,115,67,1.6,1,75.6,0,50,0,0.5,2,42,1,0,0,0,0,0,0,6,28,36,MediumFast,75,HumanLike,,20,6.7,13.3,165,0,0,0,0,2,0,BipedPokemon
98,Krabby,Krabby,Water,,30,105,90,25,25,50,0.4,1,6.5,0,50,0,0.5,1,43,0,1,28,0,0,0,0,1,6,16,MediumFast,225,Water3,,20,6.7,13.3,115,0,1,0,0,0,0,InsectPokemonWith4LegsAndClaws
99,Kingler,Kingler,Water,,55,130,115,50,50,75,1.3,1,60,0,50,0,0.5,2,43,1,0,0,0,0,0,0,5,30,36,MediumFast,60,Water3,,20,6.7,13.3,206,0,2,0,0,0,0,InsectPokemonWith4LegsAndClaws
100,Voltorb,Voltorb,Electric,,40,30,50,55,55,100,0.5,1,10.4,0,50,1,-1,1,44,0,1,30,0,0,0,0,2,6,16,MediumFast,190,Mineral,,20,6.7,13.3,103,0,0,0,0,0,1,HeadPokemon
101,Electrode,Electrode,Electric,,60,50,70,80,80,150,1.2,1,66.6,0,50,1,-1,2,44,1,0,0,0,0,0,0,5,30,36,MediumFast,60,Mineral,,20,6.7,13.3,150,0,0,0,0,0,2,HeadPokemon
102,Exeggcute,Exeggcute,Grass,Psychic,60,40,80,60,45,40,0.4,1,2.5,0,50,0,0.5,1,45,0,0,0,0,0,0,0,2,8,18,Slow,90,Grass,,20,6.7,13.3,98,0,0,1,0,0,0,MultipleBodiedPokemon5Head
103,Exeggutor,Exeggutor,Grass,Psychic,95,95,85,125,75,55,2,1,120,0,50,0,0.5,2,45,1,0,0,0,0,0,0,6,36,42,Slow,45,Grass,,20,6.7,13.3,212,0,0,0,2,0,0,MultipleBodiedPokemon3HeadAndLegs
104,Cubone,Cubone,Ground,,50,50,95,40,50,35,0.4,1,6.5,0,50,0,0.5,1,46,0,1,28,0,0,0,0,3,8,18,MediumFast,190,Monster,,20,6.7,13.3,87,0,0,1,0,0,0,BipedPokemonWithTail
105,Marowak,Marowak,Ground,,60,80,110,50,80,45,1,1,45,0,50,0,0.5,2,46,1,0,0,0,0,0,0,6,30,36,MediumFast,75,Monster,,20,6.7,13.3,124,0,0,2,0,0,0,BipedPokemonWithTail
106,Hitmonlee,Hitmonlee,Fighting,,50,120,53,35,110,87,1.5,1,49.8,0,50,0,0,2,47,1,0,0,0,0,0,0,5,30,36,MediumFast,45,HumanLike,,25,8.3,16.7,139,0,2,0,0,0,0,BipedPokemon
107,Hitmonchan,Hitmonchan,Fighting,,50,105,79,35,110,76,1.4,1,50.2,0,50,0,0,2,47,1,0,0,0,0,0,0,5,30,36,MediumFast,45,HumanLike,,25,8.3,16.7,140,0,0,0,0,2,0,BipedPokemon
